ID	GeneratedMagic
atInvalid
atSpiritBase	根骨
atAgilityBase	身法
atSpunkBase	元气
atStrengthBase	力道
atVitalityBase	体质
atStrainBase	无双
atToughnessBase	御劲
atDecriticalDamagePowerBase	化劲
atDodge	闪避
atHasteBase	加速
atParryBase	招架
atParryValueBase	拆招
atMaxLifeAdditional	气血上限
atLifeReplenishExt	气血恢复
atManaReplenishExt	内力恢复
atTherapyPowerBase	治疗效果
atMeleeWeaponDamageBase	武器伤害
atMagicAttackPowerBase	内功攻击
atMagicCriticalDamagePowerBase	内功会效
atMagicCriticalStrike	内功会心
atMagicHitValue	内功命中
atMagicOvercome	内功破防
atMagicShield	内功防御
atPhysicsAttackPowerBase	外功攻击
atPhysicsCriticalDamagePowerBase	外功会效
atPhysicsCriticalStrike	外功会心
atPhysicsHitValue	外功命中
atPhysicsOvercomeBase	外功破防
atPhysicsShieldAdditional	外功防御
atLunarAttackPowerBase	阴性内功攻击
atLunarCriticalDamagePowerBase	阴性内功会效
atLunarCriticalStrike	阴性内功会心
atLunarHitValue	阴性内功命中
atLunarOvercomeBase	阴性内功破防
atNeutralAttackPowerBase	混元内功攻击
atNeutralCriticalDamagePowerBase	混元内功会效
atNeutralCriticalStrike	混元内功会心
atNeutralHitValue	混元内功命中
atNeutralOvercomeBase	混元内功破防
atPoisonAttackPowerBase	毒性内功攻击
atPoisonCriticalDamagePowerBase	毒性内功会效
atPoisonCriticalStrike	毒性内功会心
atPoisonHitValue	毒性内功命中
atPoisonOvercomeBase	毒性内功破防
atSolarAndLunarAttackPowerBase	阴阳内功攻击
atSolarAndLunarCriticalDamagePowerBase	阴阳内功会效
atSolarAndLunarCriticalStrike	阴阳内功会心
atSolarAndLunarHitValue	阴阳内功命中
atSolarAndLunarOvercomeBase	阴阳内功破防
atSolarAttackPowerBase	阳性内功攻击
atSolarCriticalDamagePowerBase	阳性内功会效
atSolarCriticalStrike	阳性内功会心
atSolarHitValue	阳性内功命中
atSolarOvercomeBase	阳性内功破防
