ID	GeneratedMagic
atInvalid	
atSpiritBase	根骨
atAgilityBase	身法
atSpunkBase	元氣
atStrengthBase	力道
atVitalityBase	體質
atStrainBase	無雙
atToughnessBase	禦勁
atDecriticalDamagePowerBase	化勁
atDodge	閃避
atHasteBase	加速
atParryBase	招架
atParryValueBase	拆招
atMaxLifeAdditional	氣血上限
atLifeReplenishExt	氣血恢復
atManaReplenishExt	內力恢復
atTherapyPowerBase	治療效果
atMeleeWeaponDamageBase	武器傷害
atMagicAttackPowerBase	內功攻擊
atMagicCriticalDamagePowerBase	內功會效
atMagicCriticalStrike	內功會心
atMagicHitValue	內功命中
atMagicOvercome	內功破防
atMagicShield	內功防禦
atPhysicsAttackPowerBase	外功攻擊
atPhysicsCriticalDamagePowerBase	外功會效
atPhysicsCriticalStrike	外功會心
atPhysicsHitValue	外功命中
atPhysicsOvercomeBase	外功破防
atPhysicsShieldAdditional	外功防禦
atLunarAttackPowerBase	陰性內功攻擊
atLunarCriticalDamagePowerBase	陰性內功會效
atLunarCriticalStrike	陰性內功會心
atLunarHitValue	陰性內功命中
atLunarOvercomeBase	陰性內功破防
atNeutralAttackPowerBase	混元內功攻擊
atNeutralCriticalDamagePowerBase	混元內功會效
atNeutralCriticalStrike	混元內功會心
atNeutralHitValue	混元內功命中
atNeutralOvercomeBase	混元內功破防
atPoisonAttackPowerBase	毒性內功攻擊
atPoisonCriticalDamagePowerBase	毒性內功會效
atPoisonCriticalStrike	毒性內功會心
atPoisonHitValue	毒性內功命中
atPoisonOvercomeBase	毒性內功破防
atSolarAndLunarAttackPowerBase	陰陽內功攻擊
atSolarAndLunarCriticalDamagePowerBase	陰陽內功會效
atSolarAndLunarCriticalStrike	陰陽內功會心
atSolarAndLunarHitValue	陰陽內功命中
atSolarAndLunarOvercomeBase	陰陽內功破防
atSolarAttackPowerBase	陽性內功攻擊
atSolarCriticalDamagePowerBase	陽性內功會效
atSolarCriticalStrike	陽性內功會心
atSolarHitValue	陽性內功命中
atSolarOvercomeBase	陽性內功破防
